Thu Dec 10 14:16:36 CLST 2015
MAPPINGS V HII Region Grid: QZ pp_GCZO_Pk50_kinf
Run: pp,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,GCZFea05t2,SF=cont,a05,isp,#11,P6,Mv5.0.16,Svm802,FE15
Resampled with pyqz 0.7.2 (sampling=3) 2015-12-17 09:00:42.547189
Original LogQ: [ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12: [ 8.11   8.485  8.635  8.835  8.985]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),LogP/k(5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
6.9167,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6745,-0.5474,-0.5551,-1.0096,-0.8824,-0.1210,0.0061,0.7941,-0.1960,-0.0669,-0.9888,-0.8597,-0.0967,0.0324,-2.0401,-2.1691,-1.5620,0.8920,0.8506,0.1942,0.1587,0.1606
7.0000,8.3600,8.2500,6.7422,5.2422,5.0000,-0.6930,-0.5660,-0.6033,-1.0254,-0.8983,-0.0912,0.0359,0.7915,-0.0566,0.0725,-0.8469,-0.7177,0.0916,0.2207,-2.0343,-2.1634,-1.6136,0.9385,0.8671,0.1819,0.1587,0.1606
7.0833,8.3600,8.2500,6.7422,5.2422,5.0000,-0.7179,-0.5909,-0.6539,-1.0412,-0.9140,-0.0655,0.0616,0.7826,0.0725,0.2016,-0.7089,-0.5798,0.2717,0.4008,-2.0302,-2.1592,-1.6603,0.9808,0.8826,0.1697,0.1586,0.1605
7.1667,8.3600,8.2500,6.7422,5.2422,5.0000,-0.7503,-0.6233,-0.7067,-1.0569,-0.9297,-0.0451,0.0819,0.7653,0.1876,0.3167,-0.5765,-0.4475,0.4401,0.5691,-2.0276,-2.1566,-1.7003,1.0167,0.8967,0.1576,0.1586,0.1605
7.2500,8.3600,8.2500,6.7422,5.2422,5.0000,-0.7901,-0.6631,-0.7622,-1.0725,-0.9454,-0.0295,0.0976,0.7402,0.2903,0.4193,-0.4488,-0.3199,0.5987,0.7276,-2.0268,-2.1558,-1.7345,1.0475,0.9094,0.1456,0.1586,0.1605
7.3333,8.3600,8.2500,6.7422,5.2422,5.0000,-0.8356,-0.7085,-0.8195,-1.0867,-0.9596,-0.0174,0.1097,0.7084,0.3814,0.5105,-0.3259,-0.1969,0.7476,0.8765,-2.0272,-2.1562,-1.7628,1.0735,0.9209,0.1336,0.1585,0.1605
7.4167,8.3600,8.2500,6.7422,5.2422,5.0000,-0.8857,-0.7586,-0.8781,-1.0987,-0.9716,-0.0089,0.1182,0.6700,0.4602,0.5892,-0.2087,-0.0796,0.8852,1.0141,-2.0277,-2.1568,-1.7845,1.0938,0.9312,0.1217,0.1584,0.1605
7.5000,8.3600,8.2500,6.7422,5.2422,5.0000,-0.9419,-0.8148,-0.9384,-1.1091,-0.9820,-0.0045,0.1226,0.6239,0.5256,0.6546,-0.0972,0.0319,1.0109,1.1399,-2.0281,-2.1572,-1.7993,1.1080,0.9401,0.1098,0.1583,0.1605
7.5833,8.3600,8.2500,6.7422,5.2422,5.0000,-1.0020,-0.8749,-0.9998,-1.1183,-0.9912,-0.0028,0.1243,0.5727,0.5813,0.7103,0.0097,0.1388,1.1280,1.2571,-2.0283,-2.1574,-1.8091,1.1182,0.9481,0.0979,0.1583,0.1605
7.6667,8.3600,8.2500,6.7422,5.2422,5.0000,-1.0638,-0.9368,-1.0615,-1.1263,-0.9992,-0.0027,0.1243,0.5185,0.6303,0.7592,0.1127,0.2418,1.2385,1.3677,-2.0285,-2.1577,-1.8151,1.1257,0.9555,0.0862,0.1583,0.1605
