Sat 4 Jul 2015 12:30:12 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk80
Run: sph,two,LPk=8.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
LogQ(1),Tot[O]+12(2),gas[O]+12(3),Tot[Fe](4),gas[Fe](5),[NII]/Ha(6),[NII]+/Ha(7),[SII]+/Ha(8),[NII]/[OII]+(9),[NII]+/[OII]+(10),[NII]/[SII]+(11),[NII]+/[SII]+(12),[OII]+/Hb(13),[OIII]/Hb(14),[OIII]+/Hb(15),[OIII]/[OII]+(16),[OIII]+/[OII]+(17),[OIII]/[SII]+(18),[OIII]+/[SII]+(19),4363/[OIII](20),4363/[OIII]+(21),[OI]/[OII]+(22),[OII]+/[SII]+(23),R23(24),S23(25),6716/6731(26),3729/3726(27)
   8.5000,  8.7600,  8.6500,  7.5200,  6.0200, -0.9228, -0.7957, -1.6232, -0.5280, -0.4009,  0.7004,  0.8275,  0.0639,  0.7124,  0.8414,  0.6485,  0.7775,  1.8769,  2.0059, -2.3923, -2.5213, -1.9416,  1.2284,  0.9084,  0.3279, -0.2817, -0.3343
c
   6.5000,  9.0610,  8.9510,  7.8210,  6.3210,  0.0709,  0.1980, -0.3316,  0.2179,  0.3450,  0.4026,  0.5296,  0.3186, -1.7571, -1.6280, -2.0756, -1.9466, -1.8910, -1.7619, -2.7233, -2.8524, -0.9113,  0.1847,  0.3235,  0.4015, -0.2816, -0.3368
   6.7500,  9.0610,  8.9510,  7.8210,  6.3210,  0.0683,  0.1954, -0.4400,  0.2011,  0.3281,  0.5083,  0.6354,  0.3324, -1.3078, -1.1787, -1.6402, -1.5112, -1.3329, -1.2039, -2.7122, -2.8413, -1.0954,  0.3072,  0.3456,  0.4043, -0.2841, -0.3384
   7.0000,  9.0610,  8.9510,  7.8210,  6.3210,  0.0512,  0.1783, -0.5656,  0.1773,  0.3044,  0.6168,  0.7439,  0.3389, -0.8713, -0.7423, -1.2103, -1.0812, -0.7707, -0.6417, -2.7006, -2.8297, -1.2847,  0.4395,  0.3735,  0.4133, -0.2860, -0.3395
   7.2500,  9.0610,  8.9510,  7.8210,  6.3210,  0.0113,  0.1383, -0.7064,  0.1391,  0.2661,  0.7177,  0.8447,  0.3370, -0.4639, -0.3348, -0.8009, -0.6718, -0.2223, -0.0932, -2.6884, -2.8174, -1.4736,  0.5786,  0.4208,  0.4256, -0.2876, -0.3403
   7.5000,  9.0610,  8.9510,  7.8210,  6.3210, -0.0598,  0.0673, -0.8618,  0.0889,  0.2160,  0.8020,  0.9291,  0.3160, -0.1149,  0.0141, -0.4309, -0.3018,  0.2823,  0.4113, -2.6860, -2.8150, -1.6458,  0.7131,  0.4918,  0.4368, -0.2890, -0.3412
   7.7500,  9.0610,  8.9510,  7.8210,  6.3210, -0.1575, -0.0305, -1.0295,  0.0415,  0.1686,  0.8720,  0.9991,  0.2656,  0.1469,  0.2759, -0.1186,  0.0104,  0.7118,  0.8409, -2.7016, -2.8306, -1.7801,  0.8305,  0.5718,  0.4423, -0.2907, -0.3429
   8.0000,  9.0610,  8.9510,  7.8210,  6.3210, -0.2648, -0.1377, -1.2003,  0.0071,  0.1342,  0.9355,  1.0626,  0.1927,  0.3240,  0.4530,  0.1313,  0.2603,  1.0597,  1.1887, -2.7243, -2.8534, -1.8665,  0.9284,  0.6431,  0.4424, -0.2938, -0.3462
   8.2500,  9.0610,  8.9510,  7.8210,  6.3210, -0.3643, -0.2373, -1.3620, -0.0132,  0.1138,  0.9977,  1.1248,  0.1135,  0.4428,  0.5718,  0.3293,  0.4583,  1.3402,  1.4693, -2.7375, -2.8666, -1.9052,  1.0109,  0.7015,  0.4416, -0.2993, -0.3520
