Sat 4 Jul 2015 10:44:19 AEST
MAPPINGS V HII +X Region Grid: ZQ Pk50
Run: sph,two,LPk=5.0,dep=Depln_Fe_1.50.txt,kap=inf,SF=cont,a03,isp,#11,P6,Mv5.0.13,Svm802,FE15
Resampled with pyqz 0.7.0 (sampling=2) 2015-08-17 17:27:23.995958
Original LogQ:[ 6.5   6.75  7.    7.25  7.5   7.75  8.    8.25  8.5 ]
Original Tot[O]+12:[ 7.459  8.061  8.362  8.76   9.061  9.237]
LogQ(0),Tot[O]+12(1),gas[O]+12(2),Tot[Fe](3),gas[Fe](4),[NII]/Ha(5),[NII]+/Ha(6),[SII]+/Ha(7),[NII]/[OII]+(8),[NII]+/[OII]+(9),[NII]/[SII]+(10),[NII]+/[SII]+(11),[OII]+/Hb(12),[OIII]/Hb(13),[OIII]+/Hb(14),[OIII]/[OII]+(15),[OIII]+/[OII]+(16),[OIII]/[SII]+(17),[OIII]+/[SII]+(18),4363/[OIII](19),4363/[OIII]+(20),[OI]/[OII]+(21),[OII]+/[SII]+(22),R23(23),S23(24),6716/6731(25),3729/3726(26)
7.5000,7.6597,7.5497,6.4197,4.9197,-1.8005,-1.6736,-1.3229,-1.5441,-1.4171,-0.4814,-0.3543,0.2043,0.0717,0.2007,-0.1312,-0.0023,0.9320,1.0610,-1.7477,-1.8768,-1.8515,1.0648,0.5025,-0.3208,0.1572,0.1607
7.5833,7.6597,7.5497,6.4197,4.9197,-1.8347,-1.7077,-1.3578,-1.5526,-1.4256,-0.4832,-0.3561,0.1768,0.1326,0.2616,-0.0416,0.0873,1.0284,1.1575,-1.7354,-1.8645,-1.8584,1.0714,0.5217,-0.3213,0.1572,0.1607
7.6667,7.6597,7.5497,6.4197,4.9197,-1.8683,-1.7414,-1.3888,-1.5589,-1.4318,-0.4850,-0.3579,0.1483,0.1850,0.3140,0.0374,0.1665,1.1124,1.2414,-1.7239,-1.8529,-1.8625,1.0759,0.5387,-0.3218,0.1571,0.1607
7.7500,7.6597,7.5497,6.4197,4.9197,-1.9010,-1.7740,-1.4167,-1.5623,-1.4352,-0.4871,-0.3600,0.1212,0.2259,0.3549,0.1058,0.2348,1.1816,1.3106,-1.7131,-1.8422,-1.8620,1.0771,0.5536,-0.3224,0.1571,0.1607
7.8333,7.6597,7.5497,6.4197,4.9197,-1.9296,-1.8026,-1.4416,-1.5641,-1.4370,-0.4893,-0.3623,0.0966,0.2590,0.3880,0.1650,0.2941,1.2397,1.3688,-1.7033,-1.8324,-1.8586,1.0761,0.5668,-0.3231,0.1570,0.1607
7.9167,7.6597,7.5497,6.4197,4.9197,-1.9525,-1.8255,-1.4625,-1.5654,-1.4384,-0.4917,-0.3646,0.0739,0.2877,0.4167,0.2157,0.3447,1.2899,1.4189,-1.6945,-1.8235,-1.8551,1.0751,0.5782,-0.3239,0.1570,0.1607
8.0000,7.6597,7.5497,6.4197,4.9197,-1.9712,-1.8441,-1.4795,-1.5658,-1.4387,-0.4937,-0.3667,0.0540,0.3093,0.4384,0.2561,0.3851,1.3288,1.4579,-1.6867,-1.8157,-1.8512,1.0738,0.5876,-0.3251,0.1569,0.1607
8.0833,7.6597,7.5497,6.4197,4.9197,-1.9869,-1.8598,-1.4933,-1.5655,-1.4384,-0.4953,-0.3682,0.0375,0.3259,0.4549,0.2885,0.4176,1.3595,1.4885,-1.6798,-1.8088,-1.8469,1.0722,0.5954,-0.3266,0.1569,0.1607
8.1667,7.6597,7.5497,6.4197,4.9197,-1.9997,-1.8726,-1.5050,-1.5653,-1.4381,-0.4964,-0.3693,0.0244,0.3403,0.4693,0.3161,0.4452,1.3858,1.5148,-1.6738,-1.8028,-1.8425,1.0706,0.6021,-0.3281,0.1569,0.1607
8.2500,7.6597,7.5497,6.4197,4.9197,-2.0098,-1.8827,-1.5142,-1.5649,-1.4378,-0.4972,-0.3701,0.0139,0.3515,0.4805,0.3379,0.4670,1.4065,1.5355,-1.6687,-1.7977,-1.8384,1.0692,0.6076,-0.3296,0.1570,0.1607
8.3333,7.6597,7.5497,6.4197,4.9197,-2.0178,-1.8908,-1.5214,-1.5645,-1.4374,-0.4978,-0.3707,0.0053,0.3603,0.4893,0.3552,0.4843,1.4227,1.5517,-1.6644,-1.7934,-1.8351,1.0681,0.6120,-0.3311,0.1570,0.1607
8.4167,7.6597,7.5497,6.4197,4.9197,-2.0241,-1.8970,-1.5272,-1.5641,-1.4370,-0.4983,-0.3712,-0.0013,0.3674,0.4963,0.3689,0.4980,1.4356,1.5646,-1.6608,-1.7898,-1.8326,1.0672,0.6157,-0.3326,0.1570,0.1607
8.5000,7.6597,7.5497,6.4197,4.9197,-2.0281,-1.9011,-1.5309,-1.5637,-1.4366,-0.4985,-0.3714,-0.0058,0.3720,0.5010,0.3780,0.5071,1.4441,1.5731,-1.6579,-1.7870,-1.8306,1.0666,0.6183,-0.3341,0.1569,0.1606
